route_path,gate_type,page_component,ghost_world_disposition,action_required
*,OPEN,misc.tsx,OPEN,NONE
/2nd-second,ExplorerRoute,production.tsx,OPEN,NONE
/52-cards,OPEN,tools.tsx,OPEN,NONE
/about/patriotic-interdependentalist,OPEN,public.tsx,OPEN,NONE
/academy,ExplorerRoute,cephas.tsx,OPEN,NONE
/adapt,ProtectedRoute,dashboard.tsx,KEEP,NONE
/adapt-score,OPEN,dashboard.tsx,OPEN,NONE
/adapt-score/legacy,OPEN,dashboard.tsx,OPEN,NONE
/admin-project/:id,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/analytics,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/bounty-dispatch,ProtectedRoute,dashboard.tsx,KEEP,NONE
/admin/company-independence,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/compilation,ProtectedRoute,dashboard.tsx,KEEP,NONE
/admin/failure-queue,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/feature-flags,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/industry-pricing,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/letters,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/librarian,ProtectedRoute,dashboard.tsx,KEEP,NONE
/admin/moneypenny,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/outreach-letters,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/project/create,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/response-dashboard,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/response-log,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/roles,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/service-review,ProtectedRoute,admin.tsx,KEEP,NONE
/admin/showcase,ProtectedRoute,admin.tsx,KEEP,NONE
/agent-onboarding,ProtectedRoute,onboarding.tsx,KEEP,NONE
/ambassador/certify,ProtectedRoute,social.tsx,KEEP,NONE
/ambassador/chain,OPEN,social.tsx,OPEN,NONE
/ambassador/dashboard,ProtectedRoute,social.tsx,KEEP,NONE
/ambassador/portfolio/:ambassadorId,OPEN,social.tsx,OPEN,NONE
/ambassador/register,ProtectedRoute,social.tsx,KEEP,NONE
/ambassador/walkthrough,ProtectedRoute,social.tsx,KEEP,NONE
/anthology,OPEN,public.tsx,OPEN,NONE
/arena,ExplorerRoute,commerce.tsx,OPEN,NONE
/arenas,OPEN,commerce.tsx,OPEN,NONE
/areopagus,OPEN,commerce.tsx,OPEN,NONE
/as-you-wish,OPEN,production.tsx,OPEN,NONE
/asset-library,ProtectedRoute,admin.tsx,KEEP,NONE
/atti,OPEN,onboarding.tsx,OPEN,NONE
/auction,OPEN,commerce.tsx,OPEN,NONE
/auth,OPEN,public.tsx,OPEN,NONE
/auth/tiktok/callback,OPEN,public.tsx,OPEN,NONE
/backer-election,ProtectedRoute,dashboard.tsx,KEEP,NONE
/backer-election/legacy,ProtectedRoute,dashboard.tsx,KEEP,NONE
/badges,ProtectedRoute,social.tsx,KEEP,NONE
/bandwagon,OPEN,public.tsx,OPEN,NONE
/banyan-galleries,ExplorerRoute,initiatives.tsx,OPEN,NONE
/battles,ExplorerRoute,commerce.tsx,OPEN,NONE
/beacon,OPEN,tools.tsx,OPEN,NONE
/beacon-explainer,OPEN,tools.tsx,OPEN,NONE
/beacon-run/:slug,ExplorerRoute,tools.tsx,OPEN,NONE
/beacon-run/create,ProtectedRoute,tools.tsx,KEEP,NONE
/beacon-runs,ExplorerRoute,tools.tsx,OPEN,NONE
/beacons,OPEN,tools.tsx,OPEN,NONE
/beacons/create,ProtectedRoute,tools.tsx,KEEP,NONE
/become-captain/:initiativeId,OPEN,captain.tsx,OPEN,NONE
/benefits,OPEN,cephas.tsx,OPEN,NONE
/bifrost,ProtectedRoute,tools.tsx,KEEP,NONE
/biz-aggregation,OPEN,commerce.tsx,OPEN,NONE
/biz-directory,OPEN,commerce.tsx,OPEN,NONE
/blockchain/:projectId,ProtectedRoute,dashboard.tsx,KEEP,NONE
/blockchain/overview,ProtectedRoute,dashboard.tsx,KEEP,NONE
/bounties,OPEN,dashboard.tsx,OPEN,NONE
/bounties,OPEN,tools.tsx,OPEN,NONE
/bounty,OPEN,public.tsx,OPEN,NONE
/bounty-photography,ProtectedRoute,dashboard.tsx,KEEP,NONE
/bounty-poster-generator,OPEN,public.tsx,OPEN,NONE
/bounty/,OPEN,public.tsx,OPEN,NONE
/bridge/recipe,ProtectedRoute,production.tsx,KEEP,NONE
/briefcase,ProtectedRoute,dashboard.tsx,KEEP,NONE
/browse/business,ProtectedRoute,commerce.tsx,KEEP,NONE
/browse/marketplace,OPEN,commerce.tsx,OPEN,NONE
/browse/network,ProtectedRoute,commerce.tsx,KEEP,NONE
/browse/nonprofit,ProtectedRoute,commerce.tsx,KEEP,NONE
/build-a-business,OPEN,onboarding.tsx,OPEN,NONE
/business-cards,OPEN,tools.tsx,OPEN,NONE
/business-pathway,OPEN,onboarding.tsx,OPEN,NONE
/business-plan,OPEN,public.tsx,OPEN,NONE
/business-plan,ProtectedRoute,tools.tsx,KEEP,NONE
/business-plan-generator,ProtectedRoute,tools.tsx,KEEP,NONE
/business/orders,ProtectedRoute,commerce.tsx,KEEP,NONE
/buy-credits,ProtectedRoute,commerce.tsx,KEEP,NONE
/c-plus-20,OPEN,dashboard.tsx,OPEN,NONE
/c/:shortCode,OPEN,tools.tsx,OPEN,NONE
/c20,ProtectedRoute,dashboard.tsx,KEEP,NONE
/c20-pilot,ProtectedRoute,dashboard.tsx,KEEP,NONE
/c20/leaderboard,OPEN,dashboard.tsx,OPEN,NONE
/calendar,ProtectedRoute,dashboard.tsx,KEEP,NONE
/campaign-production/:workstationId,ProtectedRoute,production.tsx,KEEP,NONE
/campaigns,OPEN,commerce.tsx,OPEN,NONE
/campaigns/:slug,OPEN,commerce.tsx,OPEN,NONE
/campaigns/:slug/pitch-packet,ProtectedRoute,commerce.tsx,KEEP,NONE
/campaigns/nominate,ProtectedRoute,commerce.tsx,KEEP,NONE
/canada40k,OPEN,public.tsx,OPEN,NONE
/canada40k,OPEN,tools.tsx,OPEN,NONE
/canada40k/,OPEN,public.tsx,OPEN,NONE
/canister/bom,ExplorerRoute,production.tsx,OPEN,NONE
/canister/configurator,ProtectedRoute,production.tsx,KEEP,NONE
/captain,CaptainRoute,captain.tsx,KEEP,NONE
/captain/become,ProtectedRoute,captain.tsx,KEEP,NONE
/captain/dashboard,CaptainRoute,captain.tsx,KEEP,NONE
/captain/landing,OPEN,captain.tsx,OPEN,NONE
/captain/medallion,OPEN,captain.tsx,OPEN,NONE
/card-builder,ProtectedRoute,tools.tsx,KEEP,NONE
