timestamp,vendor,model,tier,condition,universe,question_id,grade,input_tokens,output_tokens,cost_usd,cumulative_usd,latency_s
2026-04-25T17:13:22.238269+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-CS-01,MISS,69,573,0.017535,0.0175,9.546
2026-04-25T17:13:28.140510+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-CS-02,HIT,67,312,0.009695,0.0272,5.726
2026-04-25T17:13:33.863441+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-CS-03,HIT,68,299,0.00931,0.0365,5.549
2026-04-25T17:14:10.376906+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-CS-04,MISS,63,2048,0.061755,0.0983,36.341
2026-04-25T17:14:52.059877+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-CS-05,MISS,57,2048,0.061725,0.16,41.504
2026-04-25T17:15:27.767828+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-CS-06,MISS,65,2048,0.061765,0.2218,35.522
2026-04-25T17:16:07.135762+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-CS-07,MISS,75,2048,0.061815,0.2836,39.172
2026-04-25T17:16:41.325645+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-CS-08,MISS,64,2048,0.06176,0.3454,34.003
2026-04-25T17:17:01.931805+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-CS-09,MISS,74,1112,0.03373,0.3791,20.424
2026-04-25T17:17:34.824084+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-AM-01,MISS,61,1622,0.048965,0.4281,32.708
2026-04-25T17:18:09.097777+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-AM-02,MISS,76,2048,0.06182,0.4899,34.053
2026-04-25T17:18:19.116889+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-AM-03,MISS,67,558,0.017075,0.5069,9.841
2026-04-25T17:18:30.044571+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-AM-04,MISS,69,614,0.018765,0.5257,10.739
2026-04-25T17:18:35.833103+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-AM-05,HIT,67,273,0.008525,0.5342,5.607
2026-04-25T17:18:46.853154+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-AM-06,MISS,69,619,0.018915,0.5532,10.83
2026-04-25T17:18:57.554393+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-AM-07,MISS,67,563,0.017225,0.5704,10.529
2026-04-25T17:19:37.300912+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-AM-08,MISS,72,2048,0.0618,0.6322,39.572
2026-04-25T17:20:15.827704+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-EG-01,MISS,60,2048,0.06174,0.6939,38.348
2026-04-25T17:20:43.753799+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-EG-02,MISS,61,1585,0.047855,0.7418,27.743
2026-04-25T17:21:21.630829+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-EG-03,MISS,72,2048,0.0618,0.8036,37.709
2026-04-25T17:21:32.657967+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-EG-04,MISS,68,554,0.01696,0.8205,10.857
2026-04-25T17:21:43.750022+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-EG-05,MISS,69,616,0.018825,0.8394,10.92
2026-04-25T17:21:53.411861+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-EG-06,MISS,68,573,0.01753,0.8569,9.491
2026-04-25T17:22:36.156189+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-EG-07,MISS,67,2048,0.061775,0.9187,42.557
2026-04-25T17:22:45.113026+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-EG-08,HIT,75,558,0.017115,0.9358,8.781
2026-04-25T17:23:01.476960+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-EG-09,HIT,66,874,0.02655,0.9623,16.183
2026-04-25T17:23:12.980790+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-MJ-01,MISS,77,647,0.019795,0.9821,11.265
2026-04-25T17:23:16.614687+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-MJ-02,MISS,67,204,0.006455,0.9886,3.395
2026-04-25T17:23:45.056735+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-MJ-03,MISS,66,1616,0.04881,1.0374,28.206
2026-04-25T17:23:55.628070+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-MJ-04,MISS,76,568,0.01742,1.0548,10.333
2026-04-25T17:24:05.316073+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-MJ-05,HIT,69,502,0.015405,1.0702,9.448
2026-04-25T17:24:11.110105+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-MJ-06,MISS,63,278,0.008655,1.0789,5.556
2026-04-25T17:24:21.548759+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-MJ-07,MISS,73,618,0.018905,1.0978,10.206
2026-04-25T17:24:31.194093+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-MJ-08,MISS,76,563,0.01727,1.115,9.42
2026-04-25T17:25:08.721497+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-RC-01,MISS,75,2048,0.061815,1.1769,37.297
2026-04-25T17:25:42.637353+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-RC-02,MISS,71,2048,0.061795,1.2387,33.682
2026-04-25T17:26:21.475750+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-RC-03,MISS,67,2048,0.061775,1.3004,38.602
2026-04-25T17:26:31.746659+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-RC-04,HIT,71,562,0.017215,1.3176,10.037
2026-04-25T17:26:43.367749+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-RC-05,MISS,70,572,0.01751,1.3352,11.385
2026-04-25T17:26:54.008185+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-RC-06,MISS,77,567,0.017395,1.3525,10.406
2026-04-25T17:27:04.890497+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-RC-07,MISS,76,594,0.0182,1.3707,10.685
2026-04-25T17:27:45.941451+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-RC-08,MISS,71,2048,0.061795,1.4325,40.816
2026-04-25T17:27:56.930489+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-HP-01,MISS,71,599,0.018325,1.4509,10.761
2026-04-25T17:28:37.407236+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-HP-02,MISS,67,2048,0.061775,1.5126,40.263
2026-04-25T17:29:14.697649+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-HP-03,MISS,64,2048,0.06176,1.5744,37.056
2026-04-25T17:29:55.695104+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-HP-04,MISS,66,2048,0.06177,1.6362,40.774
2026-04-25T17:30:37.130157+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-HP-05,MISS,67,2048,0.061775,1.6979,41.201
2026-04-25T17:31:05.106857+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-HP-06,MISS,64,1604,0.04844,1.7464,27.743
2026-04-25T17:31:47.404318+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-HP-07,MISS,66,2048,0.06177,1.8082,42.064
2026-04-25T17:32:26.538313+00:00,openai,gpt-5.5,top,cold,cranewell,R12C-HP-08,MISS,72,2048,0.0618,1.87,38.901
2026-04-25T17:32:28.496182+00:00,openai,gpt-5.5,top,cathedral,cranewell,R12C-CS-01,HOT,11624,50,0.05962,1.9296,1.725
