timestamp,model,condition,question_id,grade,input_tokens,output_tokens,latency_s
2026-04-26T05:41:57.626280+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-CS-01,MISS,76,182,3.954
2026-04-26T05:42:00.842094+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-CS-02,MISS,74,106,3.215
2026-04-26T05:42:05.035408+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-CS-03,HIT,75,208,4.192
2026-04-26T05:42:07.826591+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-CS-04,HIT,70,62,2.79
2026-04-26T05:42:10.581632+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-CS-05,MISS,65,61,2.754
2026-04-26T05:42:14.115882+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-CS-06,MISS,72,139,3.533
2026-04-26T05:42:16.593523+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-CS-07,MISS,81,32,2.476
2026-04-26T05:42:20.825081+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-CS-08,HIT,71,212,4.231
2026-04-26T05:42:23.185954+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-CS-09,MISS,81,22,2.36
2026-04-26T05:42:27.017333+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-AM-01,MISS,68,170,3.83
2026-04-26T05:42:31.333572+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-AM-02,MISS,83,219,4.315
2026-04-26T05:42:33.714285+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-AM-03,MISS,74,22,2.38
2026-04-26T05:42:37.921613+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-AM-04,MISS,76,209,4.206
2026-04-26T05:42:41.286020+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-AM-05,HIT,74,123,3.363
2026-04-26T05:42:44.575741+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-AM-06,MISS,76,113,3.289
2026-04-26T05:42:49.620196+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-AM-07,MISS,74,293,5.043
2026-04-26T05:42:53.654333+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-AM-08,HIT,79,192,4.033
2026-04-26T05:42:56.923835+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-EG-01,MISS,67,114,3.268
2026-04-26T05:43:00.883681+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-EG-02,MISS,69,185,3.959
2026-04-26T05:43:04.960987+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-EG-03,MISS,79,197,4.076
2026-04-26T05:43:07.720563+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-EG-04,MISS,76,62,2.759
2026-04-26T05:43:11.218657+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-EG-05,MISS,77,137,3.497
2026-04-26T05:43:14.170396+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-EG-06,MISS,73,80,2.951
2026-04-26T05:43:18.909279+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-EG-07,MISS,75,263,4.738
2026-04-26T05:43:23.783281+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-EG-08,MISS,82,275,4.873
2026-04-26T05:43:26.806537+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-EG-09,HIT,74,87,3.022
2026-04-26T05:43:31.682973+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-MJ-01,MISS,85,279,4.875
2026-04-26T05:43:35.749373+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-MJ-02,MISS,74,194,4.065
2026-04-26T05:43:39.093387+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-MJ-03,MISS,73,121,3.343
2026-04-26T05:43:42.838134+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-MJ-04,MISS,83,159,3.744
2026-04-26T05:43:45.986838+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-MJ-05,MISS,76,103,3.148
2026-04-26T05:43:49.442250+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-MJ-06,MISS,70,133,3.454
2026-04-26T05:43:52.434401+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-MJ-07,MISS,81,86,2.991
2026-04-26T05:43:56.585586+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-MJ-08,MISS,83,205,4.15
2026-04-26T05:44:01.729546+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-RC-01,MISS,84,304,5.143
2026-04-26T05:44:05.493143+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-RC-02,MISS,78,165,3.763
2026-04-26T05:44:09.542683+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-RC-03,MISS,74,192,4.049
2026-04-26T05:44:13.215087+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-RC-04,MISS,78,154,3.671
2026-04-26T05:44:17.180872+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-RC-05,MISS,76,184,3.965
2026-04-26T05:44:20.322484+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-RC-06,MISS,83,100,3.141
2026-04-26T05:44:23.819311+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-RC-07,MISS,83,137,3.496
2026-04-26T05:44:26.770283+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-RC-08,MISS,78,81,2.95
2026-04-26T05:44:30.068924+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-HP-01,MISS,78,116,3.298
2026-04-26T05:44:33.379189+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-HP-02,MISS,73,120,3.309
2026-04-26T05:44:36.165338+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-HP-03,MISS,71,63,2.785
2026-04-26T05:44:39.722055+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-HP-04,MISS,74,142,3.556
2026-04-26T05:44:43.123465+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-HP-05,MISS,73,127,3.4
2026-04-26T05:44:45.865112+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-HP-06,MISS,71,61,2.741
2026-04-26T05:44:48.668189+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-HP-07,MISS,73,64,2.802
2026-04-26T05:44:52.458834+00:00,llama3.1:8b-instruct-q4_K_M,cold,R12C-HP-08,MISS,79,168,3.79
2026-04-26T05:45:06.740515+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-CS-01,HOT,11723,49,14.28
2026-04-26T05:45:09.678181+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-CS-02,HOT,11721,47,2.936
2026-04-26T05:45:12.569810+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-CS-03,HIT,11722,43,2.89
2026-04-26T05:45:15.592682+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-CS-04,HOT,11717,53,3.022
2026-04-26T05:45:18.249331+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-CS-05,HOT,11712,28,2.656
2026-04-26T05:45:21.089736+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-CS-06,HOT,11719,37,2.839
2026-04-26T05:45:24.646084+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-CS-07,HOT,11728,90,3.555
2026-04-26T05:45:27.586382+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-CS-08,HOT,11718,47,2.939
2026-04-26T05:45:31.181097+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-CS-09,HOT,11728,90,3.593
2026-04-26T05:45:34.484005+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-AM-01,HOT,11715,73,3.302
2026-04-26T05:45:38.526658+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-AM-02,HOT,11730,123,4.041
2026-04-26T05:45:41.498247+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-AM-03,HOT,11721,47,2.97
2026-04-26T05:45:44.628699+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-AM-04,HIT,11723,61,3.129
2026-04-26T05:45:47.663555+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-AM-05,HOT,11721,51,3.034
2026-04-26T05:45:50.629954+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-AM-06,HOT,11723,49,2.965
2026-04-26T05:45:53.789298+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-AM-07,HOT,11721,62,3.158
2026-04-26T05:45:58.287645+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-AM-08,HOT,11726,152,4.497
2026-04-26T05:46:02.059682+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-EG-01,HOT,11714,104,3.771
2026-04-26T05:46:04.657128+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-EG-02,HOT,11716,25,2.596
2026-04-26T05:46:07.679512+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-EG-03,HIT,11726,51,3.021
2026-04-26T05:46:10.709043+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-EG-04,HOT,11723,52,3.028
2026-04-26T05:46:13.877027+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-EG-05,HOT,11724,61,3.167
2026-04-26T05:46:17.223473+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-EG-06,HOT,11720,75,3.345
2026-04-26T05:46:20.217607+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-EG-07,MISS,11722,50,2.993
2026-04-26T05:46:23.619718+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-EG-08,HOT,11729,79,3.401
2026-04-26T05:46:26.250040+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-EG-09,HOT,11721,26,2.629
2026-04-26T05:46:29.307910+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-MJ-01,HOT,11732,56,3.057
2026-04-26T05:46:32.250800+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-MJ-02,HOT,11721,48,2.942
2026-04-26T05:46:35.899850+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-MJ-03,HOT,11720,95,3.648
2026-04-26T05:46:39.365795+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-MJ-04,HOT,11730,82,3.465
2026-04-26T05:46:42.322965+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-MJ-05,HOT,11723,48,2.956
2026-04-26T05:46:46.064185+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-MJ-06,HOT,11717,101,3.74
2026-04-26T05:46:49.665469+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-MJ-07,HOT,11728,92,3.6
2026-04-26T05:46:52.771317+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-MJ-08,HIT,11730,58,3.105
2026-04-26T05:46:55.980190+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-RC-01,HOT,11731,66,3.208
2026-04-26T05:46:59.019041+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-RC-02,HOT,11725,56,3.038
2026-04-26T05:47:02.127831+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-RC-03,HOT,11721,59,3.108
2026-04-26T05:47:05.558156+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-RC-04,HOT,11725,79,3.429
2026-04-26T05:47:09.410457+00:00,llama3.1:8b-instruct-q4_K_M,cathedral,R12C-RC-05,HOT,11723,109,3.851
