ts,condition,vendor,model,cathedral,qid,grade,cost_usd,latency_s,running_total_usd
2026-04-24T03:54:02.333580+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-CS-01,HOT,0.246255,2.086,8.486242
2026-04-24T03:54:06.823549+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-CS-02,HOT,0.250095,4.058,8.486242
2026-04-24T03:54:10.653083+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-CS-03,HOT,0.251655,3.392,8.486242
2026-04-24T03:54:12.513147+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-CS-04,HOT,0.244515,1.432,8.486242
2026-04-24T03:54:16.543061+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-CS-05,HOT,0.253455,3.585,8.486242
2026-04-24T03:54:19.198684+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-CS-06,MISS,0.100440,2.229,8.486242
2026-04-24T03:54:21.591659+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-CS-07,HOT,0.248460,1.955,8.486242
2026-04-24T03:54:25.010279+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-CS-08,HOT,0.250800,2.986,8.486242
2026-04-24T03:54:26.871090+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-CS-09,MISS,0.097890,1.431,8.486242
2026-04-24T03:54:29.051552+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-AM-01,MISS,0.097890,1.751,8.486242
2026-04-24T03:54:30.848560+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-AM-02,MISS,0.097800,1.371,8.486242
2026-04-24T03:54:33.165658+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-AM-03,MISS,0.268455,1.888,8.486242
2026-04-24T03:54:35.036313+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-AM-04,MISS,0.097845,1.444,8.486242
2026-04-24T03:54:37.880718+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-AM-05,MISS,0.184605,2.417,8.486242
2026-04-24T03:54:39.995640+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-AM-06,MISS,0.161760,1.689,8.486242
2026-04-24T03:54:41.809517+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-AM-07,MISS,0.097800,1.392,8.486242
2026-04-24T03:54:44.005777+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-AM-08,MISS,0.097890,1.751,8.486242
2026-04-24T03:54:49.099804+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-EG-01,MISS,0.252150,4.659,8.486242
2026-04-24T03:54:53.087002+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-EG-02,MISS,0.250530,3.562,8.486242
2026-04-24T03:54:55.243979+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-EG-03,MISS,0.244620,1.711,8.486242
2026-04-24T03:55:00.107746+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-EG-04,MISS,0.255825,4.437,8.486242
2026-04-24T03:55:02.904830+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-EG-05,HIT,0.102195,2.372,8.486242
2026-04-24T03:55:04.834154+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-EG-06,MISS,0.097800,1.503,8.486242
2026-04-24T03:55:07.526287+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-EG-07,HIT,0.099885,2.258,8.486242
2026-04-24T03:55:12.020242+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-EG-08,HIT,0.255390,4.068,8.486242
2026-04-24T03:55:14.313305+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-EG-09,MISS,0.097800,1.865,8.486242
2026-04-24T03:55:16.386518+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-MJ-01,MISS,0.244635,1.646,8.486242
2026-04-24T03:55:19.784494+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-MJ-02,MISS,0.102465,2.973,8.486242
2026-04-24T03:55:25.297044+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-MJ-03,HIT,0.250395,5.083,8.486242
2026-04-24T03:55:28.038405+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-MJ-04,HIT,0.102765,2.316,8.486242
2026-04-24T03:55:29.978143+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-MJ-05,MISS,0.097815,1.515,8.486242
2026-04-24T03:55:31.978008+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-MJ-06,MISS,0.097830,1.560,8.486242
2026-04-24T03:55:34.588157+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-MJ-07,MISS,0.100875,2.180,8.486242
2026-04-24T03:55:36.492382+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-MJ-08,MISS,0.097755,1.470,8.486242
2026-04-24T03:55:38.470220+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-RC-01,MISS,0.098055,1.550,8.486242
2026-04-24T03:55:40.493280+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-RC-02,MISS,0.097995,1.580,8.486242
2026-04-24T03:55:43.371636+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-RC-03,MISS,0.097800,2.453,8.486242
2026-04-24T03:55:45.316398+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-RC-04,MISS,0.097980,1.518,8.486242
2026-04-24T03:55:48.058120+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-RC-05,HIT,0.100635,2.313,8.486242
2026-04-24T03:55:50.869352+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-RC-06,HIT,0.100950,2.378,8.486242
2026-04-24T03:55:54.764051+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-RC-07,HIT,0.252735,3.451,8.486242
2026-04-24T03:55:58.468349+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-RC-08,HIT,0.102180,3.278,8.486242
2026-04-24T03:56:00.825087+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-HP-01,HIT,0.101070,1.931,8.486242
2026-04-24T03:56:04.174777+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-HP-02,MISS,0.249015,2.907,8.486242
2026-04-24T03:56:06.569418+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-HP-03,MISS,0.097965,1.970,8.486242
2026-04-24T03:56:09.553017+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-HP-04,MISS,0.250935,2.556,8.486242
2026-04-24T03:56:12.083367+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-HP-05,HIT,0.100605,2.104,8.486242
2026-04-24T03:56:15.463225+00:00,anthropic_opus_bishop,anthropic,claude-opus-4-7,bishop,R11-HP-06,HIT,0.102165,2.955,8.486242
