ts,condition,model,qid,grade,cost_usd,latency_s,running_total_usd
2026-04-24T13:12:55.119036+00:00,lb_cathedral_haiku,claude-haiku-4-5-20251001,R11-CS-01,HOT,0.006149,2.319,0.363855
2026-04-24T13:12:57.613470+00:00,lb_cathedral_haiku,claude-haiku-4-5-20251001,R11-CS-02,HOT,0.006276,2.110,0.363855
2026-04-24T13:12:59.744160+00:00,lb_cathedral_haiku,claude-haiku-4-5-20251001,R11-CS-03,HOT,0.006303,1.749,0.363855
2026-04-24T13:13:02.856402+00:00,lb_cathedral_haiku,claude-haiku-4-5-20251001,R11-CS-04,HOT,0.006317,2.727,0.363855
2026-04-24T13:13:06.766299+00:00,lb_cathedral_haiku,claude-haiku-4-5-20251001,R11-CS-05,HOT,0.006324,3.523,0.363855
2026-04-24T13:13:08.238183+00:00,lb_cathedral_haiku,claude-haiku-4-5-20251001,R11-CS-06,HOT,0.006181,1.091,0.363855
2026-04-24T13:13:10.452886+00:00,lb_cathedral_haiku,claude-haiku-4-5-20251001,R11-CS-07,HOT,0.006168,1.834,0.363855
2026-04-24T13:13:12.218793+00:00,lb_cathedral_haiku,claude-haiku-4-5-20251001,R11-CS-08,HOT,0.006299,1.380,0.363855
2026-04-24T13:13:14.372832+00:00,lb_cathedral_haiku,claude-haiku-4-5-20251001,R11-CS-09,HOT,0.006241,1.772,0.363855
2026-04-24T13:13:18.412746+00:00,lb_cathedral_haiku,claude-haiku-4-5-20251001,R11-AM-01,HIT,0.007296,3.655,0.363855
2026-04-24T13:13:21.765596+00:00,lb_cathedral_haiku,claude-haiku-4-5-20251001,R11-AM-02,MISS,0.007054,2.970,0.363855
2026-04-24T13:13:24.962050+00:00,lb_cathedral_haiku,claude-haiku-4-5-20251001,R11-AM-03,MISS,0.007145,2.816,0.363855
2026-04-24T13:13:29.138065+00:00,lb_cathedral_haiku,claude-haiku-4-5-20251001,R11-AM-04,MISS,0.007458,3.784,0.363855
2026-04-24T13:13:34.321950+00:00,lb_cathedral_haiku,claude-haiku-4-5-20251001,R11-AM-05,MISS,0.007448,4.793,0.363855
2026-04-24T13:13:38.941220+00:00,lb_cathedral_haiku,claude-haiku-4-5-20251001,R11-AM-06,MISS,0.007610,4.212,0.363855
