ts,condition,vendor,model,cathedral,qid,grade,cost_usd,latency_s,running_total_usd
2026-04-24T14:03:51.009439+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-01,HOT,0.011750,2.069,0.569682
2026-04-24T14:03:55.010158+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-02,HOT,0.011812,3.503,0.569682
2026-04-24T14:03:57.733452+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-03,HOT,0.011924,2.222,0.569682
2026-04-24T14:04:00.339771+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-04,HOT,0.011878,2.114,0.569682
2026-04-24T14:04:05.837201+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-05,HOT,0.012490,5.000,0.569682
2026-04-24T14:04:08.254852+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-06,HOT,0.011702,1.919,0.569682
2026-04-24T14:04:11.232922+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-07,HOT,0.011704,2.488,0.569682
2026-04-24T14:04:14.003397+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-08,HOT,0.011825,2.272,0.569682
2026-04-24T14:04:16.307658+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-09,HOT,0.011822,1.781,0.569682
2026-04-24T14:04:19.617271+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-01,HOT,0.013038,2.809,0.569682
2026-04-24T14:04:22.137376+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-02,HOT,0.012761,2.017,0.569682
2026-04-24T14:04:25.046449+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-03,HOT,0.012737,2.408,0.569682
2026-04-24T14:04:29.078881+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-04,HOT,0.012958,3.534,0.569682
2026-04-24T14:04:31.817988+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-05,HOT,0.012710,2.241,0.569682
2026-04-24T14:04:36.229449+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-06,HOT,0.012820,3.930,0.569682
2026-04-24T14:04:39.057947+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-07,HOT,0.013032,2.331,0.569682
2026-04-24T14:04:42.313418+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-08,HOT,0.013103,2.753,0.569682
2026-04-24T14:04:45.069388+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-01,HOT,0.011978,2.237,0.569682
2026-04-24T14:04:48.286912+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-02,HOT,0.011832,2.776,0.569682
2026-04-24T14:04:52.154669+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-03,MISS,0.011976,3.436,0.569682
2026-04-24T14:04:54.495892+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-04,HOT,0.011923,1.909,0.569682
2026-04-24T14:04:58.149919+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-05,HOT,0.011917,3.157,0.569682
2026-04-24T14:05:02.263848+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-06,HOT,0.012031,3.615,0.569682
2026-04-24T14:05:04.652114+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-07,HOT,0.011944,1.887,0.569682
2026-04-24T14:05:06.883695+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-08,HOT,0.011856,1.730,0.569682
2026-04-24T14:05:12.728083+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-09,HOT,0.011903,5.345,0.569682
2026-04-24T14:05:16.689604+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-MJ-01,HOT,0.011841,3.465,0.569682
2026-04-24T14:05:21.114330+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-MJ-02,HIT,0.005414,3.932,0.569682
2026-04-24T14:05:25.894553+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-MJ-03,MISS,0.007938,4.299,0.569682
2026-04-24T14:05:29.129232+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-MJ-04,HOT,0.011941,2.769,0.569682
2026-04-24T14:05:33.035940+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-MJ-05,MISS,0.005350,3.457,0.569682
2026-04-24T14:05:38.819932+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-MJ-06,MISS,0.005287,5.343,0.569682
2026-04-24T14:05:41.566941+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-MJ-07,MISS,0.005189,2.252,0.569682
2026-04-24T14:05:45.061715+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-MJ-08,MISS,0.005428,2.992,0.569682
2026-04-24T14:05:47.633744+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-RC-01,HIT,0.011867,2.073,0.569682
2026-04-24T14:05:52.508149+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-RC-02,HOT,0.011845,4.372,0.569682
2026-04-24T14:05:55.194941+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-RC-03,HOT,0.011893,2.186,0.569682
2026-04-24T14:05:58.867724+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-RC-04,HOT,0.011889,3.170,0.569682
2026-04-24T14:06:03.802197+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-RC-05,HOT,0.011984,4.457,0.569682
2026-04-24T14:06:07.979515+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-RC-06,HOT,0.012041,3.675,0.569682
2026-04-24T14:06:11.008720+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-RC-07,HOT,0.011969,2.527,0.569682
2026-04-24T14:06:14.639624+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-RC-08,HOT,0.012068,3.133,0.569682
2026-04-24T14:06:17.041466+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-HP-01,HOT,0.011901,1.898,0.569682
2026-04-24T14:06:20.785988+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-HP-02,HOT,0.011842,3.245,0.569682
2026-04-24T14:06:23.818920+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-HP-03,HOT,0.012191,2.539,0.569682
2026-04-24T14:06:27.505434+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-HP-04,HOT,0.012518,3.171,0.569682
2026-04-24T14:06:32.332233+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-HP-05,HOT,0.012648,4.336,0.569682
2026-04-24T14:06:36.874645+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-HP-06,HOT,0.013256,4.042,0.569682
2026-04-24T14:06:40.714112+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-HP-07,HOT,0.011852,3.342,0.569682
2026-04-24T14:06:43.079056+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-HP-08,HOT,0.012104,1.863,0.569682
2026-04-24T14:05:53.916922+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-01,HOT,0.011755,2.154,0.569297
2026-04-24T14:05:57.355136+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-02,HOT,0.011797,2.940,0.569297
2026-04-24T14:06:00.319610+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-03,HOT,0.011874,2.470,0.569297
2026-04-24T14:06:03.507631+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-04,HOT,0.011833,2.688,0.569297
2026-04-24T14:06:06.437960+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-05,HOT,0.012075,2.430,0.569297
2026-04-24T14:06:09.232529+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-06,HOT,0.011772,2.294,0.569297
2026-04-24T14:06:11.772084+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-07,HOT,0.011734,2.042,0.569297
2026-04-24T14:06:14.571316+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-08,HOT,0.011810,2.297,0.569297
2026-04-24T14:06:16.744561+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-09,HOT,0.011782,1.658,0.569297
2026-04-24T14:06:20.058662+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-01,HOT,0.013008,2.811,0.569297
2026-04-24T14:06:24.080513+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-02,HOT,0.012756,3.520,0.569297
2026-04-24T14:06:28.082266+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-03,HOT,0.012777,3.512,0.569297
2026-04-24T14:06:30.952683+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-04,HOT,0.013008,2.376,0.569297
2026-04-24T14:06:33.554296+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-05,HIT,0.012765,2.101,0.569297
2026-04-24T14:06:37.310164+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-06,HOT,0.012735,3.253,0.569297
2026-04-24T14:06:40.229388+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-07,HOT,0.012892,2.425,0.569297
2026-04-24T14:06:43.362104+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-08,HOT,0.012938,2.629,0.569297
2026-04-24T14:06:47.225105+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-01,HOT,0.011998,3.366,0.569297
2026-04-24T14:06:51.041228+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-02,HOT,0.012287,3.317,0.569297
2026-04-24T14:06:56.294033+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-03,MISS,0.012331,4.753,0.569297
2026-04-24T14:07:01.616853+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-04,HOT,0.012098,4.824,0.569297
2026-04-24T14:07:04.957489+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-05,HOT,0.011912,2.842,0.569297
2026-04-24T14:07:09.001848+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-06,HOT,0.011866,3.547,0.569297
2026-04-24T14:07:11.838924+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-07,HOT,0.011964,2.341,0.569297
2026-04-24T14:07:14.329701+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-08,HOT,0.011906,1.992,0.569297
2026-04-24T14:07:17.284003+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-09,HOT,0.011918,2.453,0.569297
