ts,condition,vendor,model,cathedral,qid,grade,cost_usd,latency_s,running_total_usd
2026-04-24T14:09:07.238516+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-01,HOT,0.011745,3.029,0.569877
2026-04-24T14:09:10.611479+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-02,HOT,0.011762,2.864,0.569877
2026-04-24T14:09:13.962605+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-03,HOT,0.012094,2.851,0.569877
2026-04-24T14:09:16.565150+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-04,HOT,0.011848,2.102,0.569877
2026-04-24T14:09:21.495673+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-05,HOT,0.012130,4.433,0.569877
2026-04-24T14:09:23.522807+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-06,HOT,0.011722,1.530,0.569877
2026-04-24T14:09:25.511504+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-07,HOT,0.011674,1.491,0.569877
2026-04-24T14:09:27.814557+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-08,HOT,0.011820,1.804,0.569877
2026-04-24T14:09:31.910012+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-09,HOT,0.011782,3.598,0.569877
2026-04-24T14:09:34.572147+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-01,HOT,0.012853,2.164,0.569877
2026-04-24T14:09:37.369524+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-02,HOT,0.012681,2.301,0.569877
2026-04-24T14:09:41.419053+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-03,HOT,0.012687,3.551,0.569877
2026-04-24T14:09:44.706802+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-04,HOT,0.012988,2.775,0.569877
2026-04-24T14:09:47.368658+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-05,HOT,0.012710,2.208,0.569877
2026-04-24T14:09:50.072606+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-06,HOT,0.012750,2.230,0.569877
2026-04-24T14:09:54.733948+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-07,HOT,0.013032,4.189,0.569877
2026-04-24T14:09:59.430588+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-08,HOT,0.013133,4.200,0.569877
2026-04-24T14:10:04.312941+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-01,HOT,0.011873,4.386,0.569877
