ts,condition,vendor,model,cathedral,qid,grade,cost_usd,latency_s,running_total_usd
2026-04-24T15:26:03.596532+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-01,HOT,0.011745,1.750,0.608005
2026-04-24T15:26:06.339309+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-02,HOT,0.011777,2.306,0.608005
2026-04-24T15:26:09.953872+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-03,HOT,0.011774,3.184,0.608005
2026-04-24T15:26:13.226454+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-04,HOT,0.011843,2.843,0.608005
2026-04-24T15:26:15.742579+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-05,HOT,0.011865,2.088,0.608005
2026-04-24T15:26:18.154419+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-06,HOT,0.011782,1.984,0.608005
2026-04-24T15:26:20.742263+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-07,HOT,0.011719,2.159,0.608005
2026-04-24T15:26:24.317812+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-08,HOT,0.011840,3.146,0.608005
2026-04-24T15:26:26.923572+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-CS-09,HOT,0.011832,2.102,0.608005
2026-04-24T15:26:29.940161+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-01,HOT,0.012943,2.548,0.608005
2026-04-24T15:26:33.629789+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-02,HOT,0.012736,3.201,0.608005
2026-04-24T15:26:35.951439+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-03,HOT,0.012737,1.843,0.608005
2026-04-24T15:26:38.519970+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-04,HOT,0.012898,2.088,0.608005
2026-04-24T15:26:41.743557+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-05,HOT,0.012675,2.738,0.608005
2026-04-24T15:26:44.104192+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-06,HOT,0.012730,1.888,0.608005
2026-04-24T15:26:47.798562+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-07,HOT,0.012842,3.210,0.608005
2026-04-24T15:26:52.028410+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-AM-08,HOT,0.012973,3.754,0.608005
2026-04-24T15:26:55.216140+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-01,HOT,0.012208,2.698,0.608005
2026-04-24T15:26:58.195098+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-02,HOT,0.012062,2.510,0.608005
2026-04-24T15:27:00.833441+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-03,MISS,0.012346,2.171,0.608005
2026-04-24T15:27:04.360181+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-04,HOT,0.012178,3.062,0.608005
2026-04-24T15:27:07.519857+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-05,HOT,0.011927,2.672,0.608005
2026-04-24T15:27:09.795370+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-06,HOT,0.011876,1.788,0.608005
2026-04-24T15:27:12.215947+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-07,HOT,0.011959,1.958,0.608005
2026-04-24T15:27:14.840538+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-08,HOT,0.011886,2.127,0.608005
2026-04-24T15:27:18.654122+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-EG-09,HOT,0.011883,3.339,0.608005
2026-04-24T15:27:24.609772+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-MJ-01,HOT,0.011806,5.486,0.608005
2026-04-24T15:27:26.655975+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-MJ-02,HOT,0.011799,1.583,0.608005
2026-04-24T15:27:29.027618+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-MJ-03,HOT,0.012006,1.904,0.608005
2026-04-24T15:27:32.015276+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-MJ-04,HOT,0.012146,2.499,0.608005
2026-04-24T15:27:35.471156+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-MJ-05,HIT,0.012010,2.979,0.608005
2026-04-24T15:27:39.113494+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-MJ-06,HIT,0.012122,3.156,0.608005
2026-04-24T15:27:42.100742+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-MJ-07,HOT,0.011984,2.522,0.608005
2026-04-24T15:27:44.514541+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-MJ-08,HIT,0.011998,1.941,0.608005
2026-04-24T15:27:46.971623+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-RC-01,HIT,0.011877,1.977,0.608005
2026-04-24T15:27:49.510094+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-RC-02,HOT,0.011875,2.050,0.608005
2026-04-24T15:27:52.717361+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-RC-03,HOT,0.011978,2.723,0.608005
2026-04-24T15:27:55.004247+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-RC-04,HOT,0.011919,1.812,0.608005
2026-04-24T15:27:59.911165+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-RC-05,HOT,0.012209,4.420,0.608005
2026-04-24T15:28:03.034236+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-RC-06,HOT,0.012256,2.644,0.608005
2026-04-24T15:28:06.072501+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-RC-07,HOT,0.012049,2.577,0.608005
2026-04-24T15:28:10.517555+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-RC-08,HOT,0.012158,3.974,0.608005
2026-04-24T15:28:14.610291+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-HP-01,HOT,0.012196,3.623,0.608005
2026-04-24T15:28:16.999268+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-HP-02,HIT,0.011937,1.883,0.608005
2026-04-24T15:28:20.498489+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-HP-03,HOT,0.012506,3.012,0.608005
2026-04-24T15:28:22.622395+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-HP-04,HOT,0.012008,1.650,0.608005
2026-04-24T15:28:26.172563+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-HP-05,HOT,0.012628,3.069,0.608005
2026-04-24T15:28:32.727550+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-HP-06,HOT,0.013456,6.060,0.608005
2026-04-24T15:28:36.025425+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-HP-07,HOT,0.011972,2.821,0.608005
2026-04-24T15:28:38.833895+00:00,anthropic_haiku_bishop,anthropic,claude-haiku-4-5-20251001,bishop,R11-HP-08,HOT,0.012074,2.307,0.608005
